Probability,Token
0.002248705131933093,Ġblack
0.0023687700740993023,Ġblack
0.002495722146704793,Ġblack
0.002627221867442131,Ġblack
0.002760497387498617,Ġblack
0.0028928485698997974,Ġblack
0.0030217114835977554,Ġblack
0.0031448062509298325,Ġblack
0.0032604581210762262,Ġblack
0.0033676528837531805,Ġblack
0.0034661993850022554,Ġblack
0.0035558207891881466,Ġblack
0.0036367904394865036,Ġblack
0.0037098941393196583,Ġblack
0.0037758133839815855,Ġblack
0.0038351831026375294,Ġblack
0.0038887604605406523,Ġblack
0.003937471192330122,Ġblack
0.003981953486800194,Ġblack
0.004022727720439434,Ġblack
0.004060402046889067,Ġblack
0.004095545969903469,Ġblack
0.004128290805965662,Ġblack
0.004159312229603529,Ġblack
0.004188565071672201,Ġblack
0.004216618370264769,Ġblack
0.004243649076670408,Ġblack
0.004269778728485107,Ġblack
0.0042951577343046665,Ġblack
0.004319883417338133,Ġblack
0.004344302695244551,Ġblack
0.0043684979900717735,Ġblack
0.00439252657815814,Ġblack
0.004416573792695999,Ġblack
0.0044405232183635235,Ġblack
0.004464882891625166,Ġblack
0.004489350598305464,Ġblack
0.004514007363468409,Ġblack
0.004539151675999165,Ġblack
0.004564778879284859,Ġblack
0.004590780474245548,Ġblack
0.004617608617991209,Ġblack
0.00464482419192791,Ġblack
0.00467279925942421,Ġblack
0.004701613448560238,Ġblack
0.004731004126369953,Ġblack
0.004761366173624992,Ġblack
0.004792503546923399,Ġblack
0.004824499133974314,Ġblack
0.0048575871624052525,Ġblack
0.004891677759587765,Ġblack
0.004926711320877075,Ġblack
0.0049629793502390385,Ġblack
0.005000032484531403,Ġblack
0.0050384714268147945,Ġblack
0.005078078247606754,Ġblack
0.00511858519166708,Ġblack
0.005160701926797628,Ġblack
0.005204072687774897,Ġblack
0.005248412489891052,Ġblack
0.005294466391205788,Ġblack
0.005341615527868271,Ġblack
0.005390164442360401,Ġblack
0.005440122913569212,Ġblack
0.005491422954946756,Ġblack
0.005544140003621578,Ġblack
0.005598326213657856,Ġblack
0.005653738044202328,Ġblack
0.005710867699235678,Ġblack
0.005769295152276754,Ġblack
0.005829025525599718,Ġblack
0.0058901370503008366,Ġblack
0.005952904932200909,Ġblack
0.00601676432415843,Ġblack
0.006082175765186548,Ġblack
0.006149155553430319,Ġblack
0.006217523943632841,Ġblack
0.006287491414695978,Ġblack
0.006358711048960686,Ġblack
0.006431544199585915,Ġblack
0.006505673751235008,Ġblack
0.006581588182598352,Ġblack
0.006659093778580427,Ġblack
0.006738300900906324,Ġblack
0.0068195476196706295,Ġblack
0.006902297958731651,Ġblack
0.006987322587519884,Ġblack
0.007074458058923483,Ġblack
0.007163741625845432,Ġblack
0.00725526874884963,Ġblack
0.0073489537462592125,Ġblack
0.007444712799042463,Ġblack
0.007542380131781101,Ġblack
0.007640961091965437,Ġblack
0.0077403332106769085,Ġblack
0.007839403115212917,Ġblack
0.007937322370707989,Ġblack
0.008033180609345436,Ġblack
0.008125691674649715,Ġblack
0.00821375660598278,Ġblack
0.008297068998217583,Ġblack
0.008374370634555817,Ġblack
0.00844534207135439,Ġblack
0.008509856648743153,Ġblack
0.008567094802856445,Ġblack
0.008618230000138283,Ġblack
0.008663073182106018,Ġblack
0.008701582439243793,Ġblack
0.008734369650483131,Ġblack
0.008762138895690441,Ġblack
0.008784830570220947,Ġblack
0.008803360164165497,Ġblack
0.008817688561975956,Ġblack
0.008828816935420036,Ġblack
0.008837249130010605,Ġblack
0.008842901326715946,Ġblack
0.008847035467624664,Ġblack
0.00884929858148098,Ġblack
0.008851118385791779,Ġblack
0.00885265413671732,Ġblack
0.008854466490447521,Ġblack
0.008857821114361286,Ġblack
0.008862640708684921,Ġblack
0.008870030753314495,Ġblack
0.008880230598151684,Ġblack
0.008894192986190319,Ġblack
0.008911669254302979,Ġblack
0.008933011442422867,Ġblack
0.00895879790186882,Ġblack
0.008988650515675545,Ġblack
0.009021934121847153,Ġblack
0.009057345800101757,Ġblack
0.009095956571400166,Ġblack
0.009135399013757706,Ġblack
0.00917383749037981,Ġblack
0.009211237542331219,Ġblack
0.009245425462722778,Ġblack
0.009274976328015327,Ġblack
0.009298124350607395,Ġblack
0.009313974529504776,Ġblack
0.009320857934653759,Ġblack
0.009317922405898571,Ġblack
0.009303790517151356,Ġblack
0.009276988916099072,Ġblack
0.009236208163201809,Ġblack
0.009179117158055305,Ġof
0.009103679098188877,Ġof
0.009007707238197327,Ġof
0.008887667208909988,Ġof
0.008741773664951324,Ġof
0.008566751144826412,Ġof
0.008361918851733208,Ġof
0.008125988766551018,Ġof
0.00785856507718563,Ġof
0.007558251265436411,Ġof
0.007224588189274073,Ġof
0.006848731078207493,Ġof
0.00641462579369545,Ġof
0.006061625201255083,Ġof
0.005680914502590895,Ġof
0.004766516387462616,Ġof
0.0048887040466070175,Ġof
0.004850830417126417,Ġof
0.004514073953032494,Ġof
0.004213539883494377,Ġof
0.003977734129875898,Ġof
0.0038052229210734367,Ġof
0.0036915421951562166,Ġof
0.003625635989010334,Ġof
0.003593611530959606,Ġof
0.0035833693109452724,Ġof
0.003585575381293893,Ġof
0.0035940036177635193,Ġof
0.003605616744607687,Ġof
0.003621789626777172,Ġof
0.0036448666360229254,Ġof
0.0036739555653184652,Ġof
0.00370522728189826,Ġof
0.003734064055606723,Ġof
0.0037584654055535793,Ġof
0.003778971266001463,Ġof
0.003796004457399249,Ġof
0.0038106765132397413,Ġof
0.0038233136292546988,Ġof
0.003834444098174572,Ġof
0.00384414941072464,Ġof
0.0038527557626366615,Ġof
0.0038603846915066242,Ġof
0.003867077874019742,Ġof
0.0038729701191186905,Ġof
0.003878349903970957,Ġof
0.00388298905454576,Ġof
0.003887208178639412,Ġof
0.0038908468559384346,Ġof
0.0038942256942391396,Ġeyes
